,Song,Artist,Year,Genre-group,Lyrics
253,Love Yourself,Justin Bieber,2016,pop,"For all the times that you rain on my parade
And all the clubs you get in using my name
You think you broke my heart, oh girl for goodness sake
You think I'm crying on my own, well I ain't And I didn't wanna write a song
Cause I didn't want anyone thinking I still care
I don't but, you still hit my phone up
And baby I be movin' on
And I think you should be somethin'
I don't wanna hold back, maybe you should know that My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job, didn't see what's going on
But now I know, I'm better sleeping on my own Cause if you like the way you look that much
Oh, baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself And when you told me that you hated my friends
The only problem was with you and not them
And every time you told me my opinion was wrong
And tried to make me forget where I came from And I didn't wanna write a song
Cause I didn't want anyone thinking I still care
I don't but, you still hit my phone up
And baby I be movin' on
And I think you should be somethin'
I don't wanna hold back, maybe you should know that My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job, didn't see what's going on
But now I know, I'm better sleeping on my own Cause if you like the way you look that much
Oh, baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself For all the times that you made me feel small
I fell in love, now I feel nothin' at all
Had never felt so low when I was vulnerable
Was I a fool to let you break down my walls? Cause if you like the way you look that much
Oh, baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself
Cause if you like the way you look that much
Oh, baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself "
254,Cake By The Ocean,DNCE,2016,pop,"Oh, no
See you walking round like it's a funeral
Not so serious, girl; why those feet cold?
We just getting started; don't you tiptoe, tiptoe, ah Waste time with a masterpiece, don't waste time with a masterpiece
You should be rolling with me, you should be rolling with me, ah
You're a real-life fantasy, you're a real-life fantasy But you're moving so carefully; let's start living dangerously
Talk to me, baby
I'm going blind from this sweet sweet craving, whoa-oh
Let's lose our minds and go fucking crazy
I-I-I-I-I-I keep on hoping we'll eat cake by the ocean Walk for me, baby
I'll be Diddy, you be Naomi - whoa oh Let's lose our minds and go fucking crazy
I-I-I-I-I-I keep on hoping we'll eat cake by the ocean Hot damn
See you licking frosting from your own hands
Want another taste, I'm begging, yes ma'am
I'm tired of all this candy on the dry land, dry land, oh Waste time with a masterpiece, don't waste time with a masterpiece
You should be rolling with me, you should be rolling with me, ah
You're a real-life fantasy, you're a real-life fantasy
But you're moving so carefully; let's start living dangerously
Talk to me, baby
I'm going blind from this sweet sweet craving, whoa-oh
Let's lose our minds and go fucking crazy
I-I-I-I-I-I keep on hoping we'll eat cake by the ocean Walk for me, baby (walk for me now) I'll be Diddy, you be Naomi - whoa oh
Let's lose our minds and go fucking crazy I-I-I-I-I-I keep on hoping we'll eat cake by the ocean I-I-I-I-I-I keep on hoping we'll eat cake by the ocean I-I-I-I-I-I keep on hoping we'll eat cake by the ocean You're fucking delicious
Talk to me, girl
Talk to me, baby
I'm going blind from this sweet sweet craving, whoa-oh
Let's lose our minds and go fucking crazy
I-I-I-I-I-I keep on hoping we'll eat cake by the ocean
Walk for me, baby (walk for me now)
I'll be Diddy, you be Naomi - whoa oh
Let's lose our minds and go fucking crazy (that's right)
I-I-I-I-I-I keep on hoping we'll eat cake by the ocean Red velvet, vanilla, chocolate in my life
Funfetti, I'm ready; I need it every night
Red velvet, vanilla, chocolate in my life
I-I-I-I-I-I keep on hoping we'll eat cake by the ocean. "
255,In the Name of Love,Martin Garrix,2016,house,"If I told you this was only gonna hurt
If I warned you that the fire's gonna burn
Would you walk in?
Would you let me do it first?
Do it all in the name of love Would you let me lead you even when you're blind?
In the darkness, in the middle of the night
In the silence, when there's no one by your side
Would you call in the name of love? In the name of love
Name of love
In the name of love
Name of love
In the name of In the name, name
In the name, name If I told you we could bathe in all the lights
Would you rise up, come and meet me in the sky?
Would you trust me when you're jumping from the heights?
Would you fall in the name of love? When there's madness, when there's poison in your head
When the sadness leaves you broken in your bed
I will hold you in the depths of your despair
And it's all in the name of love In the name of love
Name of love
In the name of love
Name of love
In the name of In the name, name
In the name, name I wanna testify
Scream in the holy light
You bring me back to life
And it's all in the name of love I wanna testify
Scream in the holy light
You bring me back to life
And it's all in the name of love In the name of love
Name of love
In the name of love
Name of love
In the name of In the name, name
In the name, name
In the name of
In the name, name
In the name of "
256,Into You,Ariana Grande,2016,pop,"I'm so into you,
I can barely breathe
And all I wanna do
is to fall in deep
But close ain't close enough
'til we cross the line, baby
So name a game to play,
and I'll role the dice, hey Oh baby, look what you started
The temperature's rising in here
Is this gonna happen?
Been waiting and waiting for you
to make a move
(Woo, oh, oh, oh)
Before I make a move
(Woo, oh, oh, oh) So baby, come light me up
and maybe I'll let you on it
A little bit dangerous,
but baby, that's how I want it
A little less conversation, and
a little more touch my body
Cause I'm so into you,
into you,
into you
Got everyone watchin' us,
so baby, let's keep it secret
A little bit scandalous,
but baby, don't let them see it
A little less conversation and
a little more touch my body
Cause I'm so into you,
into you,
into you,
oh yeah This could take some time, hey
I made too many mistakes
Better get this right, right, baby Oh baby, look what you started
The temperature's rising in here
Is this gonna happen?
Been waiting and waiting for you to make a move
(Woo, oh, oh, oh)
Before I make a move
(Woo, oh, oh, oh) So baby, come light me up
and maybe I'll let you on it
A little bit dangerous,
but baby, that's how I want it
A little less conversation, and
a little more touch my body
Cause I'm so into you,
into you,
into you
Got everyone watchin' us,
so baby, let's keep it secret
A little bit scandalous,
but baby, don't let them see it
A little less conversation and
a little more touch my body
Cause I'm so into you,
into you,
into you Tell me what you came here for
Cause I can't, I can't wait no more
I'm on the edge with no control
And I need, I need you to know
You to know, oh So baby, come light me up
and maybe I'll let you on it
A little bit dangerous,
but baby, that's how I want it
A little less conversation, and
a little more touch my body
Cause I'm so into you,
into you,
into you Got everyone watchin' us,
so baby, let's keep it secret
A little bit scandalous,
but baby, don't let them see it
A little less conversation and
a little more touch my body
Cause I'm so into you,
into you,
into you So come light me up,
so come light me up my baby
A little dangerous,
a little dangerous my baby
A little less conversation and
a little more touch my body
Cause I'm so into you,
into you,
into you "
257,This Is What You Came For,Calvin Harris,2016,pop,"Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at you, ooh, ooh You, ooh, ooh
You, ooh, ooh
You, ooh, ooh
You, ooh, ooh
You, ooh, ooh, ooh Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at you, ooh, ooh You, ooh, ooh
You, ooh, ooh
You, ooh, ooh
You, ooh, ooh
You, ooh, ooh, ooh You, ooh, ooh
You, ooh, ooh
You, ooh, ooh
You, ooh, ooh
You, ooh, ooh
You, ooh, ooh, ooh We go fast with the game we play
Who knows why it's gotta be this way?
We say nothing more than we need
I say ""your place"" when we leave Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at you, ooh, ooh You, ooh, ooh
You, ooh, ooh
You, ooh, ooh
You, ooh, ooh
You, ooh, ooh, ooh You, ooh, ooh
You, ooh, ooh
You, ooh, ooh
You, ooh, ooh
You, ooh, ooh
You, ooh, ooh, ooh Baby, this is what you came for
Lightning strikes every time she moves Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at you, ooh, ooh You, ooh, ooh
You, ooh, ooh
You, ooh, ooh
You, ooh, ooh
You, ooh, ooh, ooh You, ooh, ooh
You, ooh, ooh
You, ooh, ooh
You, ooh, ooh
You, ooh, ooh
You, ooh, ooh, ooh "
258,Million Reasons,Lady Gaga,2016,pop,"You're giving me a million reasons to let you go
You're giving me a million reasons to quit the show
You're giving me a million reasons
Give me a million reasons
Giving me a million reasons
About a million reasons If I had a highway, I would run for the hills
If you could find a dry way, I'd forever be still
But you're giving me a million reasons
Give me a million reasons
Giving me a million reasons
About a million reasons I bow down to pray
I try to make the worst seem better
Lord, show me the way
To cut through all his worn out leather I've got a hundred million reasons to walk away
But, baby, I just need one good one to stay Head stuck in a cycle, I look off and I stare
It's like that I've stopped breathing, but completely aware
'Cause you're giving me a million reasons
Give me a million reasons
Giving me a million reasons
About a million reasons And if you say something that you might even mean
It's hard to even fathom which parts I should believe
'Cause you're giving me a million reasons
Give me a million reasons
Giving me a million reasons
About a million reasons I bow down to pray
I try to make the worst seem better
Lord, show me the way
To cut through all his worn out leather I've got a hundred million reasons to walk away
But, baby, I just need one good one to stay Oh, baby, I'm bleeding, bleeding, ey...
Can't you give me what I'm needing, needing? Every heartbreak makes it hard to keep the faith
But, baby, I just need one good one
Good one, good one, good one, good one, good one When I bow down to pray
I try to make the worst seem better
Lord, show me the way
To cut through all his worn out leather I've got a hundred million reasons to walk away
But, baby, I just need one good one, good one
Tell me that you'll be the good one, good one
Baby, I just need one good one to stay "
259,Needed Me,Rihanna,2016,pop,"Mustard on the beat ho! I was good on my own, that's the way it was, that's the way it was
You was good on the low for a faded fuck, on some faded love
Shit, what the fuck you complaining for?
Feeling jaded huh?
Used to trip off that shit I was kickin' to you
Had some fun on the run though I give it to you But baby, don't get it twisted
You was just another nigga on the hit list
Tryna fix your inner issues with a bad bitch
Didn't they tell you that I was a savage
Fuck your white horse and a carriage
Bet you never could imagine
Never told you you could have it You needed me
Oooh, you needed me
To feel a little more, and give a little less
Know you hate to confess
But baby ooo, you needed me You been rollin' around, shit I'm rollin up
Light and roll it up
Break it down like a pound, shit was never us
Shit was never us
That's the real on the real, are you serious?
How you feel, how you feel?
Used to trip off that shit I was kickin' to ya
Had some fun on the run though, I give it to ya But baby, don't get it twisted
You was just another nigga on the hit list
Tryna fix your inner issues with a bad bitch
Didn't they tell you that I was a savage
Fuck your white horse and a carriage
Bet you never could imagine
Never told you you could have it You needed me
Oooh, you needed me
To feel a little more, and give a little less
Know you hate to confess
But baby ooo, you needed me "
260,7 Years,Lukas Graham,2016,pop,"Once I was seven years old, my mama told me
Go make yourself some friends or you'll be lonely.
Once I was seven years old. It was a big big world, but we thought we were bigger.
Pushing each other to the limits, we were learning quicker.
By eleven smoking herb and drinking burning liquor
Never rich so we were out to make that steady figure Once I was eleven years old, my daddy told me
Go get yourself a wife or you'll be lonely.
Once I was eleven years old. I always had that dream like my daddy before me
So I started writing songs, I started writing stories
Something about the glory, just always seemed to bore me
Cause only those I really love will ever really know me Once I was twenty years old, my story got told
Before the morning sun, when life was lonely.
Once I was twenty years old. I only see my goals, I don't believe in failure.
Cause I know the smallest voices, they can make it major.
I got my boys with me atleast those in favor
And if we don't meet before I leave, I hope I'll see you later. Once I was 20 years old, my story got told
I was writing about everything, I saw before me
Once I was 20 years old. Soon we'll be 30 years old, our songs have been sold
We've traveled around the world and we're still roaming.
Soon we'll be 30 years old. I'm still learning about life
My woman brought children for me
So I can sing them all my songs
And I can tell them stories
most of my boys are with me
Some are still out seeking glory
And some I had to leave behind
My brother I'm still sorry Soon I'll be 60 years old, my daddy got 61
Remember life and then your life becomes a better one
I made the man so happy when I wrote a letter once I hope my children come and visit, once or twice a month
Soon I'll be 60 years old, will I think the world is cold
Or will I have a lot of children who can bore me
Soon I'll be 60 years old
Soon I'll be 60 years old, will I think the world is cold
Or will I have a lot of children who can bore me
Soon I'll be 60 years old
Once I was seven years old, my mama told me
Go make yourself some friends or you'll be lonely
Once I was seven years old
Once I was seven years old "
261,Scars To Your Beautiful,Alessia Cara,2016,r&b,"She just wants to be, beautiful
She goes, unnoticed she knows, no limits
She craves, attention she praises, an image
She prays to be, sculpted by the sculptor
Oh, she don't see, the light that's shining
Deeper than the eyes can find it
Maybe we have made her blind
So she tries to cover up her pain, and cut her woes away
Cause covergirls don't cry, after their face is made But there's a hope that's waiting for you in the dark
You should know you're beautiful just the way you are
And you don't have to change a thing
The world could change it's heart
No scars to your beautiful,
we're stars and we're beautiful
Oh-oh, oh-oh-oh,
oh-oh-oh-oh, oh-oh-oh And you don't have to change a thing
The world could change it's heart
No scars to your beautiful,
we're stars and we're beautiful She has dreams to be an envy, so she's starving
You know, ""covergirls eat nothing""
She says ""beauty is pain and there's beauty in everything""
""What's a little bit of hunger?""
""I could go a little while longer"", she fades away
She don't see her perfect, she don't understand she's worth it
Or that beauty goes deeper than the surface
Ah oh, ah ah oh,
So to all the girls that's hurting
Let me be your mirror, help you see a little bit clearer
The light that shines within There's a hope that's waiting for you in the dark
You should know you're beautiful just the way you are
And you don't have to change a thing
The world could change it's heart
No scars to your beautiful,
we're stars and we're beautiful Oh-oh-oh, oh-oh-oh-oh,
oh-oh-oh, oh-oh-oh-oh And you don't have to change a thing
The world could change it's heart
No scars to your beautiful,
we're stars and we're beautiful No better you than the you that you are
(No better you than the you that you are)
No better life than the life we're living
(No better life than the life we're living)
No better time for your shine, you're a star
(No better time for your shine, you're a star)
Oh, you're beautiful, oh, you're beautifu-u-u-ul There's a hope that's waiting for you in the dark
You should know you're beautiful just the way you are
And you don't have to change a thing
The world could change it's heart
No scars to your beautiful,
we're stars and we're beautiful
Woah-oh-oh-oh, woah-oh-oh-oh,
woah-oh-oh-oh-oh-, oh-oh-oh-oh
And you don't have to change a thing
The world could change it's heart
No scars to your beautiful
we're stars and we're beautiful "
262,Work,Rihanna,2016,pop,"Work, work, work, work, work, work He said me haffi
Work, work, work, work, work, work!
He see me do mi
Dirt, dirt, dirt, dirt, dirt, dirt!
So me put in
Work, work, work, work, work, work When you ah guh
Learn, learn, learn, learn, learn Meh nuh cyar if him
Hurt, hurt, hurt, hurt, hurting Dry me ah desert him Nuh time to have you lurking
Him ah go act like he nah like it You know I dealt with you the nicest
Nuh body touch me in the righteous
Nuh botha text me in a crisis
I believed all of your dreams, adoration
You took my heart and my keys and my patience
You took my heart on my sleeve for decoration
You mistaken my love I brought for you for foundation
All that I wanted from you was to give me
Something that I never had
Something that you've never seen
Something that you've never been!
Mmmmm!
But I wake up and act like nothing's wrong Just get ready for... Work, work, work, work, work, work He said me haffi
Work, work, work, work, work, work!
He see me do mi
Dirt, dirt, dirt, dirt, dirt, dirt! So me put in
Work, work, work, work, work, work
Ner ner ner ner ner ner!
When you a guh ner ner ner ner ner ner!
Before the tables turn turn turn turn turn turn! Beg you something please
Baby don't you leave
Don't leave me stuck here in the streets, uh huh
If I get another chance to I will never, no never neglect you
I mean who am I to hold your past against you?
I just hope that it gets to you
I hope that you see this through
I hope that you see this true
What can I say? Please recognize I'm tryin', babe!!! I have to Work, work, work, work, work, work
He said me haffi
Work, work, work, work, work, work! He see me do mi Dirt, dirt, dirt, dirt, dirt, dirt!
So me put in
Work, work, work, work, work, work
When you ah guh
Learn, learn, learn, learn, learn Meh nuh cyar if him
Hurt, hurt, hurt, hurt, hurting Yeah, okay
You need to get done, done, done, done at work, come over
We just need to slow the motion
Don't give that away to no one
Long distance, I need you
When I see potential I just gotta see it through If you had a twin, I would still choose you
I don't wanna rush into it, if it's too soon
But I know you need to get done, done, done, done
If you come over
Sorry if I'm way less friendly
I got niggas tryna end me, oh
I spilled all my emotions tonight, I'm sorry
Rollin', rollin', rollin', rollin', rollin'
How many more shots until you're rollin'?
We just need a face to face
You could pick the time and the place
You spent some time away
Now you need to forward and give me all the... Work, work, work, work, work, work
He said me haffi
Work, work, work, work, work, work
He se me do mi
Dirt, dirt, dirt, dirt, dirt, dirt!
So me put in
Work, work, work, work, work, work
When you ah guh
Learn, learn, learn, learn, learn
Meh nuh cyar if him
Hurt, hurt, hurt, hurt, hurting Mmmmm, mmmmm
Mmmmm, mmmmm
Work, work, work, work, work, work
Mmmmm, mmmmm "
263,Stitches,Shawn Mendes,2016,pop,"I thought that I'd been hurt before
But no one's ever left me quite this sore
Your words cut deeper than a knife
Now I need someone to breathe me back to life Got a feeling that I'm going under
But I know that I'll make it out alive
If I quit calling you my lover
And move on You watch me bleeding till I can't breathe
Shaking, falling onto my knees
And now that I'm without your kisses
I'll be needing stitches Tripping over myself
Aching, begging you to come help
And now that I'm without your kisses
I'll be needing stitches Just like a moth drawn to a flame
Oh, you lured me in, I couldn't sense the pain
Your bitter heart, cold to the touch
Now I'm gonna reap what I sow
I'm left seeing red on my own Got a feeling that I'm going under
But I know that I'll make it out alive
If I quit calling you my lover
And move on You watch me bleeding till I can't breathe
Shaking, falling onto my knees
And now that I'm without your kisses
I'll be needing stitches Tripping over myself
Aching, begging you to come help
And now that I'm without your kisses
I'll be needing stitches Needle and the thread
Gotta get you out of my head
Needle and the thread
Gonna wind up dead Needle and the thread
Gotta get you out of my head
Needle and the thread
Gonna wind up dead Needle and the thread
Gotta get you out of my head
Needle and the thread
Gonna wind up dead Needle and the thread
Gotta get you out of my head
Get you out of my head You watch me bleeding till I can't breathe
Shaking, falling onto my knees (falling on my knees)
And now that I'm without your kisses
I'll be needing stitches (and I'll be needing stitches) Tripping over myself
Aching, begging you to come help (begging, baby, please)
And now that I'm without your kisses
I'll be needing stitches And now that I'm without your kisses
I'll be needing stitches
And now that I'm without your kisses
I'll be needing stitches "
264,"Me, Myself & I",G-Eazy,2016,hip hop,"Oh, it's just me, myself and I
Solo ride until I die
Cause I, got me for life
yeah
Oh I don't need a hand to hold
Even when the night is cold
I got that fire in my soul And as far as I can see, I just need privacy
Plus a whole lot of tree, fuck all this modesty
I just need space to do me
Give the world what they're tryna see
A Stella Maxwell right beside of me
A Ferrari, I'm buyin' three
A closet of Saint Laurent, get what I want when I want
Cause this hunger is driving me, yeah
I just need to be alone, I just need to be at home
Understand what I'm speaking on
If time is money I need a loan
But regardless I'll always keep keepin' on
Fuck fake friends
We don't take L's, we just make M's
While y'all follow, we just make trends
I'm right back to work when that break ends Oh, it's just me, myself and I
Solo ride until I die
Cause I, got me for life
(Got me for life, yeah)
Oh I don't need a hand to hold
Even when the night is cold
I got that fire in my soul I don't need anything to get me through the night
Except the beat that's in my heart
And it's keeping me alive
(Keeps me alive)
I don't need anything to make me satisfied (you know)
Cause the music fills me good and it gets me every time Yeah, and I don't like talking to strangers
So get the fuck off me I'm anxious
I'm tryna be cool but I may just go ape shit
Say ""fuck y'all"" to all of y'all faces
It changes though now that I'm famous
Everyone knows how this lifestyle is dangerous
But I love it the rush is amazing
Celebrate nightly and everyone rages
I found how to cope with my anger
I'm swimming in money
Swimming in liquor, my liver is muddy
But it's all good I'm still sippin' this bubbly
This shit is lovely, this shit ain't random, I didn't get lucky
Made it right here cause I'm sick with it cuddy
They all take the money for granted
But don't want to work for it tell me now, isn't it funny? nah Oh, it's just me, myself and I
Solo ride until I die
Cause I, got me for life
(Got me for life, yeah)
Oh I don't need a hand to hold
Even when the night is cold
I got that fire in my soul I don't need anything to get me through the night
Except the beat that's in my heart
Yeah, that's keeping me alive
(Keeps me alive)
I don't need anything to make me satisfied (you know)
Cause the music fills me good and it gets me every time Like ba-ba-ba-ba-da-ba
Ba-ba-ba-da-ba (yee)
Ba-ba-ba-ba-da-ba
Ba-ba-ba-da-ba
Ba-ba-ba-ba-da-ba
Ba-ba-ba-da-ba
Cause the music fills me good and it gets me every time Yeah, lonely nights I laid awake
Pray to lord, my soul to take
My heart's become too cold to break
Know I'm great but I'm broke as hell
Having dreams that I'm folding cake
All my life I've been told to wait
But I'ma get it now, yeah it's no debate
Yeah Oh, it's just me, myself and I
Solo ride until I die
Cause I, got me for life
(Got me for life, yeah)
Oh I don't need a hand to hold
Even when the night is cold
I got that fire in my soul I don't need anything to get me through the night
Except the beat that's in my heart
And it's keeping me alive
(Keeps me alive)
I don't need anything to make me satisfied (you know)
Cause the music fills me good and it gets me every time Like ba-ba-ba-ba-da-ba
Ba-ba-ba-da-ba
Ba-ba-ba-ba-da-ba
Ba-ba-ba-da-ba
Ba-ba-ba-ba-da-ba
Ba-ba-ba-da-ba
Cause the music fills me good and it gets me every time "
265,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2016,pop,"I took a pill in Ibiza
To show Avicii I was cool
And when I finally got sober, felt 10 years older
But fuck it, it was something to do
I'm living out in LA
I drive a sports car just to prove
I'm a real big baller cause I made a million dollars
And I spend it on girls and shoes But you don't wanna be high like me
Never really knowing why like me
You don't ever wanna step off that roller coaster and be all alone
You don't wanna ride the bus like this
Never knowing who to trust like this
You don't wanna be stuck up on that stage singing Stuck up on that stage singing All I know are sad songs, sad songs
Darling, all I know are sad songs, sad songs
All I know are sad songs
All I know are sad songs All I know are sad songs
All I know are sad songs I'm just a singer who already blew his shot
I get along with old timers
Cause my name's a reminder of a pop song people forgot
And I can't keep a girl, no Cause as soon as the sun comes up
I cut 'em all loose and work's my excuse
But the truth is I can't open up But you don't wanna be high like me
Never really knowing why like me
You don't ever wanna step off that roller coaster and be all alone
You don't wanna ride the bus like this
Never knowing who to trust like this
You don't wanna be stuck up on that stage singing
Stuck up on that stage singing
All I know are sad songs, sad songs
Darling, all I know are sad songs, sad songs
All I know are sad songs
All I know are sad songs
All I know are sad songs
All I know are sad songs "
266,Dangerous Woman,Ariana Grande,2016,pop,"Don't need permission
Made my decision to test my limits
Cause it's my business, God as my witness
Start what I finished
Don't need no hold up
Taking control of this kind of moment
I'm locked and loaded
Completely focused, my mind is open All that you got, skin to skin, oh my God
Don't ya stop, boy Somethin' 'bout you makes me feel like a dangerous woman
Somethin' 'bout, somethin' 'bout, somethin' 'bout you
Makes me wanna do things that I shouldn't
Somethin' 'bout, somethin' 'bout, somethin' 'bout Nothing to prove and I'm bulletproof and
Know what I'm doing
The way we're movin' like introducing
Us to a new thing
I wanna savor, save it for later
The taste of flavor, cause I'm a taker
Cause I'm a giver, it's only nature
I live for danger All that you got, skin to skin, oh my God
Don't ya stop, boy Somethin' 'bout you makes me feel like a dangerous woman
Somethin' 'bout, somethin' 'bout, somethin' 'bout you
Makes me wanna do things that I shouldn't
Somethin' 'bout, somethin' 'bout, somethin' 'bout you All girls wanna be like that
Bad girls underneath, like that
You know how I'm feeling inside
Somethin' 'bout, somethin' 'bout
All girls wanna be like that
Bad girls underneath, like that
You know how I'm feeling inside
Somethin' 'bout, somethin' 'bout Somethin' 'bout you makes me feel like a dangerous woman
Somethin' 'bout, somethin' 'bout, somethin' 'bout you
Makes me wanna do things that I shouldn't
Somethin' 'bout, somethin' 'bout, somethin' 'bout you All girls wanna be like that
Bad girls underneath like that
You know how I'm feeling inside
Somethin' 'bout, somethin' 'bout
All girls wanna be like that
Bad girls underneath like that
You know how I'm feeling inside
Somethin' 'bout, somethin' 'bout Yeah, there's somethin' 'bout you boy
Yeah, there's somethin' 'bout you boy
Yeah, there's somethin' 'bout you boy
Yeah, there's somethin' 'bout you boy
(Somethin' 'bout, somethin' 'bout, somethin' 'bout you)
Yeah, there's somethin' 'bout you boy
Yeah, there's somethin' 'bout you boy
Yeah, there's somethin' 'bout you boy
Yeah, there's somethin' 'bout you boy
(Somethin' 'bout, somethin' 'bout, somethin' 'bout you) "
267,Starving,Hailee Steinfeld,2016,pop,"You know just what to say
Shit, that scares me
I should just walk away but I can't move my feet
The more that I know you, the more I want to
Something inside me's changed
I was so much younger yesterday, oh I didn't know that I was starving 'til I tasted you
Don't need no butterflies when you give me the whole damn zoo
By the away, by the away, you do things to my body
I didn't know that I was starving 'til I tasted you
I didn't know that I... I didn't know that I... 'til I tasted you
I didn't know that I... I didn't know that I... 'til I tasted you
By the away, by the away, you do things to my body
I didn't know that I was starving 'til I tasted you You know just how to make my heart beat faster
Emotional earthquake, bring on disaster
You hit me head on, got me weak in my knees
Yeah, something inside me's changed
I was so much younger yesterday, aye
So much younger yesterday, oh, yeah I didn't know that I was starving 'til I tasted you
Don't need no butterflies when you give me the whole damn zoo
By the away, by the away, you do things to my body
I didn't know that I was starving 'til I tasted you
I didn't know that I... I didn't know that I... 'til I tasted you
I didn't know that I... I didn't know that I... 'til I tasted you
By the away, by the away, you do things to my body
I didn't know that I was starving 'til I tasted you
You, yeah, 'til I tasted you
I didn't know that I... I didn't know that I... 'til I tasted you
By the away, by the way away, you do things to my body
I didn't know that I was starving 'til I tasted you The more that I know you, the more I want to
Something inside me's changed
I was so much younger yesterday "
268,Shout Out to My Ex,Little Mix,2016,pop,"This is a shout out to my ex
Heard he in love with some other chick
Yeah yeah, that hurt me, I'll admit
Forget that boy, I'm over it
I hope she gettin' better sex
Hope she ain't fakin' it like I did, babe
Took four long years to call it quits
Forget that boy, I'm over it Guess I should say thank you
For the ""hate yous"" and the tattoos
Oh baby, I'm cool by the way
Ain't sure I loved you anyway
Go 'head, babe, I'mma live my life, my life, yeah Shout out to my ex, you're really quite the man
You made my heart break and that made me who I am
Here's to my ex, hey, look at me now
Well, I, I'm all the way up
I swear you'll never bring me down
Shout out to my ex, you're really quite the man
You made my heart break and that made me who I am
Here's to my ex, hey, look at me now
Well, I, I'm all the way up
I swear you'll never, you'll never bring me down Oh, I deleted all your pics
Then blocked your number from my phone
Yeah yeah, you took all you could get
But you ain't getting this love no more
'Cause now I'm living so legit
Even though you broke my heart in two, baby
But I snapped right back, I'm so brand new, baby
Boy, read my lips, I'm over you, over you Guess I should say thank you
For the ""hate yous"" and the tattoos
Oh baby, I'm cool by the way
Ain't sure I loved you anyway
Go 'head, babe, I'mma live my life, my life, yeah Shout out to my ex, you're really quite the man
You made my heart break and that made me who I am
Here's to my ex, hey, look at me now
Well, I, I'm all the way up
I swear you'll never, you'll never bring me down
Shout out to my ex, you're really quite the man
You made my heart break and that made me who I am
Here's to my ex, hey, look at me now
Well, I, I'm all the way up
I swear you'll never, you'll never bring me down
You'll never bring me down Shout out to my ex, you're really quite the man
You made my heart break and that made me who I am
Here's to my ex, hey, look at me now
Well, I'm all the way up
I swear you'll never, you'll never bring me down Shout out to my ex, you're really quite the man
(You're quite the man)
You made my heart break and that made me who I am
Here's to my ex, hey, look at me now
Well, I, I'm all the way up, I swear you'll never bring me down
(You'll never bring me down)
Shout out to my ex, you're really quite the man
You made my heart break and that made me who I am
Here's to my ex, hey, look at me now
(Won't you just look at me now)
Well, I, I'm all the way up
I swear you'll never, you'll never bring me down
You'll never bring me down Oh.
Never bring me down... "
269,Confident,Demi Lovato,2016,pop,"Are you ready? Ha It's time for me to take it, I'm the boss right now
Not gonna fake it, not when you go down
'Cause this is my game and you better come to play I used to hold my freak back, now I'm letting go
I make my own choice, bitch, I run this show
So leave the lights on, no, you can't make me behave So you say I'm complicated
That I must be outta my mind
But you've had me underrated
Rated, rated What's wrong with being, what's wrong with being
What's wrong with being confident?
What's wrong with being, what's wrong with being
What's wrong with being confident? It's time to get the chains out, is your tongue tied up?
'Cause this is my ground and I'm dangerous
And you can get out, but it's all about me tonight (Tonight) So you say I'm complicated
That I must be outta my mind
But you've had me underrated
Rated, rated What's wrong with being, what's wrong with being
What's wrong with being confident?
What's wrong with being, what's wrong with being
What's wrong with being confident? What's wrong with being, what's wrong with being
What's wrong with being confident?
What's wrong with being, what's wrong with being
What's wrong with being confident? So you say I'm complicated
That I must be outta my mind
But you've had me underrated What's wrong with being, what's wrong with being
What's wrong with being confident?
What's wrong with being, what's wrong with being
What's wrong with being confident? What's wrong with being, what's wrong with being
What's wrong with being confident?
What's wrong with being, what's wrong with being
What's wrong with being confident? "
