,Unnamed: 0,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,Rank,Lyrics
162,146,We Can't Stop,Miley Cyrus,dance pop,2013,80,62,61,-6,37,48,231,1,3,78,17.0, its our party we can do what we want no drama its our party we can say what we want mike will made its our party we can love who we want we can kiss who we want we can live how we wantits our party we can do what we want its our party we can say what we want its our party we can love who we want we can kiss who we want we can live how we wantred cups and sweaty bodies everywhere hands in the air like we dont care cause we came to have so much fun now got somebody here might get some nowif youre not ready to go home can i get a hell no hell no cause we gonna go all night till we see the sunlight alrightso la da di da di we like to party dancing with molly doing whatever we want this is our house this is our rules and we cant stop and we wont stop cant you see its we who own the night cant you see it we who bout that life and we cant stop and we wont stop we run things things dont run we dont take nothing from nobodyits our party we can do what we want its our party we can say what we want its our party we can love who we want we can kiss who we want we can see who we wantto my home girls here with the big butts shaking it like we at a strip club remember only god can judge us forget the haters cause somebody loves ya and everyone in line in the bathroom trying to get a line in the bathroom we all so turned up here getting turned up yea yeaso la da da di we like to party dancing with molly doing whatever we want this is our house this is our rules and we cant stop and we wont stop cant you see its we who own the night cant you see its we who bout that life and we cant stop and we wont stop we run things things dont run we dont take nothing from nobodyits our party we can do what we want its our party we can say what we want its our party we can love who we want we can kiss who we want we can see who we wantits our party we can do what we want to its our house we can love who we want to its our song we can sing if we want to its my mouth i can say what i want to yea yea yeahand we cant stop yeah and we wont stop oh cant you see its we who own the night cant you see its we who bout that life and we cant stop and we cant stop yeah and we wont stop oh things dont run we dont take nothing from nobody yea yea yeah yeah ehh 
165,149,Wrecking Ball,Miley Cyrus,dance pop,2013,120,42,53,-6,11,35,221,41,3,77,18.0, we clawed we chained our hearts in vain we jumped never asking why we kissed i fell under your spell a love no one could denydont you ever say i just walked away i will always want you i cant live a lie running for my life i will always want youi came in like a wrecking ball i never hit so hard in love all i wanted was to break your walls all you ever did was break me yeah you wreck mei put you high up in the sky and now youre not coming down it slowly turned you let me burn and now were ashes on the grounddont you ever say i just walked away i will always want you i cant live a lie running for my life i will always want youi came in like a wrecking ball i never hit so hard in love all i wanted was to break your walls all you ever did was break mei came in like a wrecking ball yeah i just closed my eyes and swung left me crouching in a blaze and fall all you ever did was break me yeah you wreck mei never meant to start a war i just wanted you to let me in and instead of using force i guess i shouldve let you in i never meant to start a war i just wanted you to let me in i guess i shouldve let you indont you ever say i just walked away i will always want youi came in like a wrecking ball i never hit so hard in love all i wanted was to break your walls all you ever did was break mei came in like a wrecking ball yeah i just closed my eyes and swung left me crouching in a blaze and fall all you ever did was break me yeah you you wreck meyeah you you wreck me 
167,150,Impossible,James Arthur,pop,2013,170,70,38,-5,11,30,209,14,9,77,70.0, i remember years ago someone told me i should take caution when it comes to love i did i did and you were strong and i was not my illusion my mistake i was careless i forgot i did and now when all is done there is nothing to say you have gone and so effortlessly you have won you can go ahead tell themtell them all i know now shout it from the roof tops write it on the skyline all we had is gone now tell them i was happy and my heart is broken all my scars are open tell them what i hoped would be impossible impossible impossible impossible falling out of love is hard falling for betrayal is worst broken trust and broken hearts i know i know thinking all you need is there building faith on love and words empty promises will wear i know i know and now when all is gone there is nothing to say and if youre done with embarrassing me on your own you can go ahead tell themtell them all i know now shout it from the roof tops write it on the skyline all we had is gone now tell them i was happy and my heart is broken all my scars are open tell them what i hoped would be impossible impossible impossible impossible impossible impossibleooh impossible yeah yeahi remember years ago someone told me i should take caution when it comes to love i didtell them all i know now shout it from the roof top write it on the skyline all we had is gone now tell them i was happy i was happy and my heart is broken all my scars are open tell them what i hoped would be impossible impossible impossible impossible impossible impossiblei remember years ago someone told me i should take caution when it comes to love i did 
168,151,Blurred Lines,Robin Thicke,dance pop,2013,120,60,85,-5,8,84,264,0,4,76,2.0, hey hey hey hey hey hey hey hey heyif you cant hear what im tryna say if you cant read from the same page maybe im going deaf maybe im going blind maybe im out of my mindok now he was close tried to domesticate you but youre an animal baby its in your nature just let me liberate you you dont need no papers that man is not your mate and thats why im gon take yougood girl i know you want it i know you want it i know you want ityoure a good girl cant let it get past me me fall from plastic talk about getting blastedi hate these blurred lines i know you want it i know you want it i know you want itbut youre a good girl the way you grab me must wanna get nasty go ahead get at mewhat do they make dreams for when you got them jeans on what do we need steam for you the hottest bitch in this placei feel so lucky you wanna hug me what rhymes with hug me heyok now he was close tried to domesticate you but youre an animal baby its in your nature just let me liberate you you dont need no papers that man is not your mate and thats why im gon take yougood girl i know you want it i know you want it i know you want ityoure a good girl cant let it get past me me fall from plastic talk about getting blastedi hate these blurred lines i know you want it i know you want it i know you want itbut youre a good girl the way you grab me must wanna get nasty go ahead get at mehustle gang homie one thing i ask of you lemme be the one you bring that ass up to from malibu to paris boo had a bitch but she aint bad as you so hit me up when you passin through ill give you something big enough to tear your ass in two swag on em even when you dress casual i mean its almost unbearable honey you not there when im at the bar side let you have me by nothin like your last guy he too square for you he dont smack that ass and pull your hair for you so im just watchin and waitin for you to salute the truly pimpin not many women can refuse this pimpin im a nice guy but dont get confused you gitn itshake your rump get down get up do it like it hurt like it hurt what you dont like work heybaby can you breathe i got this from jamaica it always works for me dakota to decaturno more pretending cause now your winning heres our beginning i always wanted agood girl i know you want it i know you want it i know you want ityoure a good girl cant let it get past me me fall from plastic talk about getting blastedi hate these blurred lines i know you want it i know you want it i know you want itbut youre a good girl the way you grab me must wanna get nasty go ahead get at meeverybody get up everybody get uphey hey hey hey hey hey hey hey hey 
170,152,Heart Attack,Demi Lovato,dance pop,2013,174,79,50,-5,24,50,211,7,10,76,77.0, turn the lights on oh wooh oh woohwe share something so common still so rare and im in awe never been here before so high were still climbing even here inside these walls breaking each others hearts and we dont care cause were soin too deep cant think about giving it up but i never knew love would feel like a heart attack its killing me swear i never cried so much cause i never knew love would hurt this fin bad the worst pain that i ever hadoh wooh never never never knew love oh wooh would hurt this fin bad the worst pain that i ever hadall the times when i know i should be smiling seem to be the time that i frown the most cant believe that were still survivin cause im slowly breaking down even when i hold you close and if i lose you im afraid i would lose who who i gave my love to thats the reason i stay around even though i fell wayin too deep cant think about giving it up but i never knew love would feel like a heart attack its killing me swear i never cried so much cause i never knew love would hurt this fin bad the worst pain that i ever hadoh wooh never never never knew love oh wooh would hurt this fin bad the worst pain that i ever hadand it hurts cause i wanna leave and you wanna leave but the love keeps us togetherand if i lose you im afraid i would lose who who i gave my love to thats the reason i stay around even though i fell wayin too deep cant think about giving it up but i never knew love would feel like a heart attack its killing me swear i never cried so much cause i never knew love would hurt this fin bad the worst pain that i ever hadoh wooh never never never knew love oh wooh would hurt this fin bad the worst pain that i ever had 
173,154,Die Young,Kesha,dance pop,2013,128,70,71,-5,22,80,212,0,5,75,85.0, i hear your heart beat to the beat of the drums oh what a shame that you came here with someone so while youre here in my arms lets make the most of the night like were gonna die young were gonna die young were gonna die young lets make the most of the night like were gonna die younglets make the most of the night like were gonna die youngyoung hearts out our minds runnin till we outta time wild childs lookin good livin hard just like we should dont care whose watching when we tearing it up you know that magic that we got nobody can touch for surelooking for some trouble tonight yeah take my hand ill show you the wild side like its the last night of our lives uh huh well keep dancing till we diei hear your heart beat to the beat of the drums oh what a shame that you came here with someone so while youre here in my arms lets make the most of the night like were gonna die young were gonna die young were gonna die young lets make the most of the night like were gonna die younglets make the most of the night like were gonna dieyoung hunks taking shots stripping down to dirty socks music up gettin hot kiss me give me all youve got its pretty obvious that youve got a crush you know that magic in your pants its making me blush for surelooking for some trouble tonight yeah take my hand ill show you the wild side like its the last night of our lives uh huh well keep dancing till we die till we diei hear your heart beat to the beat of the drums oh what a shame that you came here with someone so while youre here in my arms lets make the most of the night like were gonna die youngi hear your heart beat to the beat of the drums oh what a shame that you came here with someone so while youre here in my arms lets make the most of the night like were gonna die young were gonna die young were gonna die young lets make the most of the night like were gonna die young 
175,155,Clarity,Zedd,complextro,2013,128,78,51,-3,7,18,271,4,7,75,24.0, high dive into frozen waves where the past comes back to life fight fear for the selfish pain i it was worth it every timehold still right before we crash cause we both know how this ends a clock ticks till it breaks your glass a and i drown in you againcause you are the piece of me i wish i didnt need chasing relentlessly still fight and i dont know whyif our love is tragedy why are you my remedy if our loves insanity why are you my clarityeh eh eheheh eh eh eheheh eh eh eheheh eh eh ehehehif our love is tragedy why are you my remedy if our loves insanity why are you my claritywalk on through a red parade a and refuse to make amends it cuts deep through our ground and makes you us forget all common sensedont speak as i try to leave cause we both know what welld choose if you pull then ill push too deep a and ill fall right back to youcause you are the piece of me i wish i didnt need chasing relentlessly still fight and i dontt know whyif our love is tragedy why are you my remedy if our loves insanity why are you my clarityeh eh eheheh eh eh ehehehwhy are you my clarity clarityclarityclarity eh eh ehehehwhy are you my remedy remedyremedyremedy eh eh ehehehwhy are you my clarity clarityclarityclarity eh eh ehehehwhy are you my remedy remedyremedyremedy eh eh ehehehif our love is tragedy eh eh eheheh why are you my remedyif our loves insanity eh eh eheheh why are you my clarity 
178,158,Everybody Talks,Neon Trees,indie pop,2013,155,92,47,-4,31,73,177,0,6,74,22.0, hey baby wont you look my way i could be your new addiction hey baby what you got to say all youre giving me is fiction im a sorry sucker and this happens all the time i find out that everybody talks everybody talks everybody talks everybody talkschorus it started with a whisper and that was when i kissed her and then she made my lips hurt i can even chitchat take me to your love shack mamas always got a backtrack and everybody talks babehey honey you could be my drug you could be my new prescription too much get me an overdose all this stress talk make me itching on my mouth yeah everybody talks everybody talks everybody talks too muchchorus it started with a whisper and that was when i kissed her and then she made my lips hurt i can even chitchat take me to your love shack mamas always got a backtrack and everybody talks babenever thought id live to see the day when everybodys words got in the wayhey sugar show me all your love all youre giving me is friction hey sugar what you got to saychorus it started with a whisper and that was when i kissed her and then she made my lips hurt i can even chitchat take me to your love shack mamas always got a backtrack and everybody talks babeeverybody talks everybody talks everybody talks it started with a whisper and that was when i kissed her everybody talks everybody talks everybody talks yeah 
179,159,"Hold On, We're Going Home",Drake,canadian hip hop,2013,100,41,77,-7,7,29,228,0,10,73,34.0, i got my eyes on you youre everything that i see i want your hot love and emotion endlessly i cant get over you you left your mark on me i want your high love and emotion endlessly cause youre a good girl and you know it you act so different around me cause youre a good girl and you know it i know exactly who you could bejust hold on were going home just hold on were going home its hard to do these things alone just hold on were going home ho ohi got my eyes on you youre everything that i see i want your hot love and emotion endlessly i cant get over you you left your mark on me i want your high love and emotion endlessly cause youre a good girl and you know it you act so different around me cause youre a good girl and you know it i know exactly who you could beso just hold on were going home goin home just hold on were going home goin home its hard to do these things alone things alone just hold on were going home goin home ho oh goin homeyoure the girl youre the one gave you every thing i love i think theres something baby i think theres something babyyoure the girl youre the one gave you every thing i love i think theres something baby i think theres something babycause youre a good girl and you know it you act so different around me cause youre a good girl and you know it i know exactly who you could beoh just hold on were going home goin home just hold on were going home goin home its hard to do these things alone things alone just hold on were going home goin home ho oh goin homehold on hold on hold on 
181,160,Best Song Ever,One Direction,boy band,2013,118,88,65,-3,8,49,200,2,5,73,74.0, maybe its the way she walked wow straight into my heart and stole it through the doors and past the guards wow just like she already owned iti said can you give it back to me she said never in your wildest dreamsand we danced all night to the best song ever we knew every line now i cant remember how it goes but i know that i wont forget her cause we danced all night to the best song everi think it went oh oh oh i think it went yeah yeah yeah i think it goes ohsaid her name was georgia rose wow and her daddy was a dentist said i had a dirty mouth i got a dirty mouth but she kissed me like she meant iti said can i take you home with me she said never in your wildest dreamsand we danced all night to the best song ever we knew every line now i cant remember how it goes but i know that i wont forget her cause we danced all night to the best song everi think it went oh oh oh i think it went yeah yeah yeah i think it goes ohyou know i know you know ill remember you and i know you know i know youll remember me and you know i know you know ill remember you oh oh oh yeah yeah yeah and i know you know i hope youll remember how we danced how we danced how we danced how we danced 1 2 1 2 3how we danced all night to the best song ever we knew every line now i cant remember how it goes but i know that i wont forget her cause we danced all night to the best song ever we danced we danced it goes something like yeahand we danced all night to the best song ever we knew every line now i cant remember how it goes but i know that i wont forget her cause we danced all night to the best song everi think it went oh oh oh i think it went yeah yeah yeah i think it goes ohbest song ever it was the best song ever it was the best song ever it was the best song ever 
186,165,Brave,Sara Bareilles,acoustic pop,2013,185,84,55,-4,4,76,221,1,5,71,96.0, you can be amazing you can turn a phrase into a weapon or a drug you can be the outcast or be the backlash of somebodys lack of love or you can start speaking up nothings gonna hurt you the way that words do and they settle neath your skin kept on the inside and no sunlight sometimes a shadow wins but i wonder what would happen if yousay what you wanna say and let the words fall out honestly i wanna see you be bravewith what you want to say and let the words fall out honestly i wanna see you be bravei just wanna see you i just wanna see you i just wanna see you i wanna see you be bravei just wanna see you i just wanna see you i just wanna see you i wanna see you be brave    memory  byamandah   editor    on march 10th 2016 sara bareilles was invited to perform her hit brave at the white house canadian state dinner she was joined by the children of the    see all   everybodys been there everybodys been stared down by the enemy fallen for the fear and done some disappearing bow down to the mighty dont run stop holding your tongue maybe theres a way out of the cage where you live maybe one of these days you can let the light in show me how big your brave issay what you wanna say and let the words fall out honestly i wanna see you be bravewith what you want to say and let the words fall out honestly i wanna see you be braveinnocence your history of silence wont do you any good did you think it would let your words be anything but empty why dont you tell them the truthsay what you wanna say and let the words fall out honestly i wanna see you be bravewith what you want to say and let the words fall out honestly i wanna see you be bravei just wanna see you i just wanna see you i just wanna see you i wanna see you be bravei just wanna see you i just wanna see you i just wanna see you see you be bravei just wanna see you i just wanna see you i just wanna see youi just wanna see you i just wanna see you i just wanna see you 
191,169,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2013,125,68,66,-7,37,25,252,25,4,70,74.0, much as you blame yourself you cant be blamed for the way that you feel had no example of a love that was even remotely real how can you understand something that you never had ooh baby if you let me i can help you out with all of thatgirl let me love you and i will love you until you learn to love yourself girl let me love you and all your trouble dont be afraid girl let me help girl let me love you and i will love you until you learn to love yourself girl let me love you a heart of numbness gets brought to life ill take you theregirl let me love you girl let me love you baby oh girl let me love you girl let me love you baby girl let me love you let me love you let me love you ohi can see the pain behind your eyes its been there for quite a while i just wanna be the one to remind you what it is to smile i would like to show you what true love can really dogirl let me love you and i will love you until you learn to love yourself girl let me love you and all your trouble dont be afraid girl let me help girl let me love you and i will love you until you learn to love yourself girl let me love you a heart of numbness gets brought to life ill take you theregirl let me love you baby girl let me love you let me love you let me love you baby girl let me love you girl let me love you baby girl let me love you let me love you girl let me love you babyfor every heart that beats for every heart that beats for every heart that beats for every heart that beats heart that beats heart that beats heart that beats heart that beatsgirl let me love you and i will love you until you learn to love yourself girl let me love you and all your trouble dont be afraid girl let me help girl let me love you and i will love you until you learn to love yourself girl let me love you a heart of numbness gets brought to life ill take you theregirl let me love you let me love you baby love you baby girl let me love you let me love you baby love you baby 
195,172,The Way,Ariana Grande,dance pop,2013,82,88,65,-3,8,86,227,29,11,68,31.0, what we gotta do right here is go back back to the topi love the way you make me feel i love it i love it i love the way you make me feel i love it i love itsay im thinking bout her every second every hour do my singing in the shower picking petals off the flowers like do she love me do she love me not love me not i aint a player i just crush a lot crush a lotyou give me that kind of something want it all the time need it everyday on a scale of one to ten im at 100 never get enough i cant stay awayif you want it i got it i got it everyday you can get whatever you need from me stay by your side ill never leave you and i aint going nowhere cause youre a keeperso dont you worry baby you got mei got a bad boy i must admit it you got my heart dont know how you did it and i dont care who sees it babe i dont wanna hide the way i feel when youre next to mei love the way you make me feel i love the way i love it baby i love the way you make me feel ooh i love the way i love it the way you love meoh its so crazy you get my heart jumping when you put your lips on mine and honey it aint a question question cause boy i know just what you likeso if you need it i got it i got it everyday be your lover your friend youll find it all in me stay by your side ill never leave you and i aint going nowhere cause youre a keeperso dont you worry baby you got mei got a bad boy i must admit it you got my heart dont know how you did it and i dont care who sees it babe i dont wanna hide the way i feel when youre next to mei love the way you make me feel i love the way i love it baby i love the way you make me feel ooh i love the way i love it the way i love youuh i make you feel so fine i make you feel so fine i hope you hit me on my celly when i sneak in your mind youre a princess to the public but a freak when its time said your bed be feeling lonely so youre sleeping in mine you come and watch a movie with me american beauty or bruce almighty thats groovy just come and move closer to me i got some feelings for you im not gonna get bored of but baby youre an adventure so please let me come explore youso dont you worry baby you got mei got a bad boy i must admit it you got my heart dont know how you did it and i dont care who sees it babe i dont wanna hide the way i feel when youre next to mei love the way you make me feel i love the way i love it baby i love the way you make me feel i love the way i love iti love the way you make me feel i love the way i love it baby i love the way you make me feel i love the way i love itthe way i love you the way i love you you you yeahi love the way you make me feel i love it i love it i love the way you make me feel i love it the way i love you 
196,173,Suit & Tie,Justin Timberlake,dance pop,2013,102,60,80,-4,16,36,326,10,22,68,20.0,we do not have the lyrics for good suit  tie time justin timberlake chic yet
200,177,Daylight,Maroon 5,pop,2013,120,67,66,-5,26,37,225,0,3,66,35.0, here i am waiting ill have to leave soon why am i holding on we knew this day would come we knew it all along how did it come so fast this is our last night but its late and im trying not to sleep cause i know when i wake i will have to slip awayand when the daylight comes ill have to go but tonight im gonna hold you so close cause in the daylight well be on our own but tonight i need to hold you so close ooh whoa ooh whoa ooh whoa ooh whoa ooh whoa ooh whoahere i am staring at your perfection in my arms so beautiful the sky is getting bright the stars are burning out somebody slow it down this is way too hard cause i know when the sun comes up i will leave this is my last glance that will soon be memoryand when the daylight comes ill have to go but tonight im gonna hold you so close cause in the daylight well be on our own but tonight i need to hold you so close ooh whoa ooh whoa ooh whoa ooh whoa ooh whoa ooh whoai never wanted to stop because i dont wanna start all over start all over i was afraid of the dark but now its all that i want all that i want all that i wantand when the daylight comes ill have to go but tonight im gonna hold you so close cause in the daylight well be on our own but tonight i need to hold you so closeand when the daylight comes ill have to go but tonight im gonna hold you so close cause in the daylight well be on our own but tonight i need to hold you so close ooh whoa ooh whoa ooh whoa ooh whoa ooh whoa ooh whoaooh whoa yeah ooh whoa yeah ooh whoa yeah ooh whoa yeah ooh whoa yeah ooh whoa 
201,178,Love Somebody,Maroon 5,pop,2013,120,78,68,-6,12,40,230,13,4,65,51.0, i know your insides are feeling so hollow and its a hard pill for you to swallow yeah but if i fall for you ill never recover if i fall for you ill never be the samei really wanna love somebody i really wanna dance the night away i know were only half way there but you can take me all the way if you take me all the way i really wanna touch somebody i think about you every single day i know were only half way there but you can take me all the way you can take me all the wayyoure such a hard act for me to follow love me today dont leave me tomorrow yeah but if i fall for you ill never recover if i fall for you ill never be the samei really wanna love somebody i really wanna dance the night away i know were only half way there but take me all the way if you can take me all the way i really wanna touch somebody i think about you every single day i know were only half way there but you can take me all the way if you can take me all the wayoh oh oh oh oh oh oh oh oh oh oh ohi dont know where to start im just a little lost i wanna feel like were never gonna ever stop i dont know what to do im right in front of you asking you to stay you should stay stay with me tonight yeahi really wanna love somebody i really wanna dance the night away i know were only half way there but take me all the way if you can take me all the way i really wanna touch somebody i think about you every single day i know were only half way there but take me all the way if you can take me all the wayoh oh oh oh oh oh oh oh oh oh oh ohtake me all the way if you take me all the way yeah 
208,185,Next To Me,Emeli Sand�,dance pop,2013,95,80,67,-5,11,35,197,9,4,60,88.0,you wont find him drinking at the tables  rolling dice and staying out till 3 you wont ever find him being unfaithful you will find him youll find him next to me you wont find him trying to chase the devil for money fame for power out of grief you wont ever find him where the rest go you will find him youll find him next to me next to me oooh next to me oooh  next to me oooh you will find him youll find him next to me when the moneys spent and all my friends have vanished and i cant seem to find no help or love free i know theres no need for me to panic cuz ill find him ill find him next to mewhen the skies are grey and all the doors are closing and the rising pressure makes it hard to breathe well all i need is a hand to stop the tears from falling i will find him ill find him next to me next to me oooh next to me oooh next to me oooh i will find him ill find him next to me when the end has come and buildings falling down fast when we spoilt the land and dried up all the sea when everyone has lost their heads around us you will find him youll find him next to me next to me oooh next to me oooh  next to me oooh you will find him youll find him next to me next to me oooh next to me oooh  next to me oooh you will find him youll find him next to me
213,190,Come & Get It,Selena Gomez,dance pop,2013,80,79,55,-4,10,58,232,1,5,57,33.0,2x when youre ready come and get it na na na na 3x when youre ready when youre ready when youre ready come and get it na na na na 3x you aint gotta worry its an open invitation ill be sittin right here real patient all day all night ill be waitin standby cant stop because i love it hate the way i love you all day all night maybe im addicted for life no lie im not too shy to show i love you i got no regrets i love you much too much to hide you this love aint finished yet this love aint finished yet so baby whenever youre ready 2x when youre ready come and get it na na na na 3x when youre ready when youre ready when youre ready come and get it na na na na 3x you got the kind of love that i want let me get thatand baby once i get it im yours no take backs gon love you for life i aint leaving your side even if you knock it aint no way to stop it forever youre mine baby im addicted no lie no lie im not too shy to show i love you i got no regrets so baby whenever youre ready 2x when youre ready come and get it na na na na 3x when youre ready when youre ready when youre ready come and get it na na na na 3x this love will be the death of me but i know ill die happily ill know ill know ill know because you love me so yeah 2x when youre ready come and get it na na na na 3x when youre ready when youre ready when youre ready come and get it na na na na 3x
219,196,Applause,Lady Gaga,dance pop,2013,140,78,67,-4,11,73,212,3,5,52,37.0, i stand here waiting for you to bang the gong to crash the critics saying is it right or is it wrong if only fame had an iv baby could i bear being away from you i found the vein put it in herei live for the applause applause applause i live for the applauseplause live for the applauseplause live for the way that you cheer and scream for me the applause applause applausegive me that thing that i love turn the lights on put your hands up make em touch touch make it real loud give me that thing that i love turn the lights on put your hands up make em touch touch make it real loudapplause make it real loud put your hands up make em touch touch applause make it real loud put your hands up make em touch touchive overheard your theory nostalgias for geeks i guess sir if you say so some of us just like to readone second im a kunst then suddenly the kunst is me pop culture was in art now arts in pop culture in mei live for the applause applause applause i live for the applauseplause live for the applauseplause live for the way that you cheer and scream for me the applause applause applausegive me that thing that i love turn the lights on put your hands up make em touch touch make it real loud give me that thing that i love turn the lights on put your hands up make em touch touch make it real loudapplause make it real loud put your hands up make em touch touch applause make it real loud put your hands up make em touch touchooh touch touch ooh touch touch now ooh ooh ooh oohi live for the applause applause applause i live for the applauseplause live for the applauseplause live for the way that you cheer and scream for me the applause applause applausegive me that thing that i love turn the lights on put your hands up make em touch touch make it real loud give me that thing that i love turn the lights on put your hands up make em touch touch make it real loudapplause make it real loud put your hands up make em touch touch make it real loud applause make it real loud put your hands up make em touch touchartpop 
223,200,#Beautiful,Mariah Carey,dance pop,2013,107,76,68,-5,31,45,200,29,4,51,81.0, ah ah youre beautiful yeah ah ah youre beautifulhop on the back of my bike let the good wind blow through your hair with an ass like that and a smile so bright oh youre killing me you know it aint fair yeah ride on through the middle of the night let the moonlight kiss your skin when you dance like that your jeans so tight oh youre killing me baby do it againyoure beautiful and your mind is fucking beautiful and i cant pretend that that doesnt mean a thing to me to me yeah youre beautiful good lord youre fucking beautiful and i cant pretend that that doesnt mean a thing to me to me yeah yeahi like when you run red lights dont stop til you thrill me oh how you thrill me always in control how you do it i dont know but i dont care take me anywhere cause its beautiful ooh you make me feel undressable and i cant pretend that that doesnt mean a thing to me to me oh yeahyoure beautiful and your mind is fucking beautiful and i cant pretend that that doesnt mean a thing to me to me yeah youre beautiful good lord youre fucking beautiful and i cant pretend that that doesnt mean a thing to me to me yeah yeahoh oh oh oh yeah yeah you dont know what youre doing darling hop on back my bike darling ohohoh ohohoh dont you worry darling 
234,211,All of Me,John Legend,neo mellow,2014,120,26,42,-7,13,33,270,92,3,86,3.0, verse what would i do without your smart mouth drawing me in and you kicking me out you got my head spinning no kidding i cant pin you down whats going on in that beautiful mind im on your magical mystery ride and im so dizzy dont know what hit me but ill be alrightbridge my heads underwater but im breathing fine youre crazy and im out of my mindchorus cause all of me loves all of you love your curves and all your edges all your perfect imperfections give your all to me ill give my all to you youre my end and my beginning even when i lose im winning cause i give you all of me and you give me all of you oh    meaning  byjamesg   editor    all of me is a song by american recording artist john legend from his fourth studio album love in the future 2013 legend cowrote the song with toby gad    see all   verse how many times do i have to tell you even when youre crying youre beautiful too the world is beating you down im around through every mood youre my downfall youre my muse my worst distraction my rhythm and blues i cant stop singing its ringing in my head for youbridge my heads underwater but im breathing fine youre crazy and im out of my mindchorus cause all of me loves all of you love your curves and all your edges all your perfect imperfections give your all to me ill give my all to you youre my end and my beginning even when i lose im winning cause i give you all of me and you give me all of you oh give me all of you oh ohbridge cards on the table were both showing hearts risking it all though its hardchorus cause all of me loves all of you love your curves and all your edges all your perfect imperfections give your all to me ill give my all to you youre my end and my beginning even when i lose im winning cause i give you all of me and you give me all of youi give you all of me and you give me all of you oh oh oh 
235,212,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,59,4,85,10.0, guess its true im not good at a onenight stand but i still need love cause im just a man these nights never seem to go to plan i dont want you to leave will you hold my handoh wont you stay with me cause youre all i need this aint love its clear to see but darling stay with me    meaning  byjamesg   editor    stay with me is a song by english recording artist sam smith from his debut studio album in the lonely hour 2014 it was written by sam smith james    see all   why am i so emotional no its not a good look gain some self control and deep down i know this never works but you can lay with me so it doesnt hurtoh wont you stay with me cause youre all i need this aint love its clear to see but darling stay with meoh wont you stay with me cause youre all i need this aint love its clear to see but darling stay with meoh wont you stay with me cause youre all i need this aint love its clear to see but darling stay with me 
237,213,Summer,Calvin Harris,dance pop,2014,128,86,60,-4,14,74,223,2,3,80,33.0, when i met you in the summer to my heartbeat sound we fell in love as the leaves turned brownand we could be together baby as long as skies are blue you act so innocent now but you lied so soon when i met you in the summerwhen i met you in the summer to my heartbeat sound we fell in love as the leaves turned brownand we could be together baby as long as skies are blue you act so innocent now but you lied so soon when i met you in the summersummerwhen i met you in the summersummer 
239,215,Rude,MAGIC!,pop,2014,144,76,77,-5,31,93,225,4,4,79,7.0, saturday morning jumped out of bed and put on my best suit got in my car and raced like a jet all the way to you knocked on your door with heart in my hand to ask you a question cause i know that youre an old fashioned man yeah yeahcan i have your daughter for the rest of my life say yes say yes cause i need to know you say ill never get your blessing till the day i die tough luck my friend but the answer is nowhy you gotta be so rude dont you know im human too why you gotta be so rude im gonna marry her anyway marry that girl marry her anyway marry that girl yeah no matter what you say marry that girl and well be a family    meaning  byamandah   editor    in a topten list in 2014 time rated rude as the no1 worst song of the year ouch    see all   why you gotta be so rudei hate to do this you leave no choice cant live without her love me or hate me we will be both standing at that altar or we will run away to another galaxy you know you know shes in love with me she will go anywhere i gocan i have your daughter for the rest of my life say yes say yes cause i need to know you say ill never get your blessing till the day i die tough luck my friend cause the answers still nowhy you gotta be so rude dont you know im human too why you gotta be so rude im gonna marry her anyway marry that girl marry her anyway marry that girl no matter what you say marry that girl and well be a familywhy you gotta be so rudecan i have your daughter for the rest of my life say yes say yes cause i need to know you say ill never get your blessing till the day i die tough luck my friend but no still means nowhy you gotta be so rude dont you know im human too why you gotta be so rude im gonna marry her anyway marry that girl marry her anyway marry that girl no matter what you say marry that girl and well be a familywhy you gotta be so rude why you gotta be so rude why you gotta be so rude 
